,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
11,155.0,4.0,71.8,23.75,5.0,18.75,6.5,7.25,3.0,5.75,0.75,0.5,82.0,2.75,0.0,1.0,0.25,0.75,0.5,1.25
12,194.0,5.0,64.8,24.4,2.6,21.8,7.2,5.2,1.4,7.2,2.4,1.0,147.0,0.0,0.0,0.0,0.2,9.4,1.2,15.8
13,1068.0,6.0,83.63333333333334,21.83333333333333,2.6666666666666665,19.166666666666668,4.333333333333333,9.166666666666666,2.6666666666666665,4.166666666666667,1.0,0.5,88.0,2.0,0.0,0.8333333333333334,0.1666666666666666,0.6666666666666666,0.1666666666666666,7.166666666666667
14,1070.0,4.0,87.325,91.5,7.5,84.0,31.75,26.0,15.5,15.25,0.0,3.0,645.0,3.25,0.0,3.0,0.25,5.25,0.75,1.0
15,1174.0,1.0,82.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1175.0,4.0,80.775,6.0,1.0,5.0,0.5,1.5,1.25,2.25,0.0,0.5,16.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
17,1176.0,1.0,84.0,9.0,1.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18,1178.0,1.0,84.0,13.0,0.0,13.0,3.0,3.0,1.0,4.0,0.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1179.0,10.0,68.75,7.2,0.7,6.5,2.6,0.9,1.1,1.0,0.8,0.8,25.1,0.0,0.0,0.6,0.1,0.3,0.1,2.5
20,1180.0,5.0,67.6,17.6,3.8,13.8,5.0,4.8,1.8,3.6,1.0,1.4,79.2,0.2,3.0,0.2,0.0,3.4,1.4,2.2
21,1181.0,9.0,67.13333333333334,5.777777777777778,0.2222222222222222,5.555555555555555,3.0,1.1111111111111112,0.0,1.2222222222222223,0.1111111111111111,0.3333333333333333,24.88888888888889,0.0,0.0,0.2222222222222222,0.0,1.1111111111111112,0.2222222222222222,9.0
22,1182.0,3.0,74.41666666666667,6.0,1.6666666666666667,4.333333333333333,3.0,1.0,0.0,1.6666666666666667,0.0,0.3333333333333333,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,1183.0,6.0,63.96666666666667,24.33333333333333,1.8333333333333333,22.5,13.0,8.0,2.333333333333333,0.6666666666666666,0.3333333333333333,0.0,32.5,0.0,0.0,0.5,0.0,0.6666666666666666,0.1666666666666666,7.0
24,1184.0,5.0,71.8,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0
25,1185.0,1.0,87.4,6.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1186.0,7.0,76.6857142857143,6.285714285714286,1.1428571428571428,5.142857142857143,1.4285714285714286,1.4285714285714286,0.7142857142857143,2.142857142857143,0.5714285714285714,0.0,32.285714285714285,0.0,0.0,1.4285714285714286,0.0,0.1428571428571428,0.0,0.0
27,1187.0,7.0,79.04857142857144,9.0,1.8571428571428568,7.142857142857143,2.857142857142857,2.0,1.5714285714285714,2.2857142857142856,0.1428571428571428,0.1428571428571428,38.42857142857143,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0
